"title","age","genres","imdb","rotten_tomatoes","keywords","year","netflix","hulu","prime","disney"
"Restaurants on the Edge","TV-14","Documentary, Food, Reality",6.7,NA,"",2020,1,0,0,0
"46",NA,"",8.5,NA,"",2017,1,0,0,0
"Yu-Gi-Oh! Arc-V","TV-PG","Action & Adventure, Animation, Game Show, Science-Fiction, Fantasy",6.2,NA,"Free Services, Netflix, Prime Video, Hulu",2014,1,1,1,0
"Transformers: Rescue Bots","TV-PG","Action & Adventure, Animation, Children, Science-Fiction, Fantasy",6.5,NA,"",2012,1,0,0,0
"Rostered On","TV-14","",8.4,NA,"",2017,1,0,0,0
"7SEEDS","TV-MA","Animation, Anime, Action & Adventure, Drama, Horror, Mystery, Romance, Science-Fiction, Fantasy",6.3,NA,"",2019,1,0,0,0
"Huge in France","TV-14","",6.8,50,"",2019,1,0,0,0
"Stories by Rabindranath Tagore","TV-14","",8.9,NA,"",2015,1,0,0,0
"Zumbo's Just Desserts","TV-PG","",6.9,NA,"",2016,1,0,0,0
"La Niña",NA,"Drama, Action & Adventure, Documentary, Romance",8.6,NA,"",2016,1,0,0,0
"The Last Kids on Earth","TV-PG","Animation, Action & Adventure, Comedy, Family, Horror, Fantasy, Science-Fiction",7.5,NA,"",2019,1,0,0,0
"El Clon",NA,"",6.8,NA,"",2000,1,1,0,0
"Ice Fantasy","TV-14","Drama, Science-Fiction, Action & Adventure, Fantasy, Romance",7,NA,"",2016,1,0,0,0
"Trump: An American Dream",NA,"",7.2,NA,"",2017,1,0,0,0
"Rookie Historian Goo Hae-Ryung",NA,"Drama, History, Romance",8.2,NA,"",2019,1,0,0,0
"Troy: Fall of a City","TV-MA","Action & Adventure, Drama, Fantasy, Romance",3.8,71,"",2018,1,0,0,0
"Alaska State Troopers","TV-14","",7.5,NA,"",2009,1,0,0,0
"Highway to Heaven","TV-PG","Drama, Fantasy, Science-Fiction, Family",6.7,NA,"",1984,1,0,1,0
"Ghost in the Shell: SAC_2045",NA,"Animation, Anime, Action & Adventure, Science-Fiction, Drama, Fantasy",6.2,NA,"Police, Suspense, Psychology, Futuristic, Political, America, Japan",2020,1,0,0,0
"Anjaan: Special Crimes Unit","TV-14","Horror, Mystery, Thriller, Drama",6.9,NA,"",2018,1,0,0,0
"Terrace House: Opening New Doors",NA,"Reality, Drama, Family, Romance",7.8,NA,"",2017,1,0,0,0
"Incomplete Life","TV-14","",8.6,NA,"",2014,1,0,0,0
"Handsome Siblings",NA,"Action & Adventure, Drama, Fantasy, Romance",8.2,NA,"",2020,1,0,0,0
"First Team: Juventus",NA,"Sport, Documentary, Reality",7.4,NA,"",2018,1,0,0,0
"Yo-Kai Watch","TV-G","Animation, Action & Adventure, Comedy, Fantasy, Family, Children",5.9,NA,"",2014,1,0,0,0
"Morocco: Love in Times of War",NA,"",7.7,NA,"",2017,1,0,0,0
"One Spring Night",NA,"",7.9,NA,"",2019,1,0,0,0
"Chef's Table: France","TV-14","",8.3,NA,"",2016,1,0,0,0
"Omniscient","TV-MA","Drama, Science-Fiction, Fantasy",6.3,NA,"",2020,1,0,0,0
"Danger Mouse","TV-PG","Animation, Children, Comedy, Family, Science-Fiction",7.4,NA,"",1981,1,0,0,0
"The Inmate",NA,"Drama, Thriller, Crime, Action & Adventure",7.1,NA,"",2018,1,0,0,0
"Iris",NA,"Action & Adventure, Drama, Mystery, Romance, Thriller",7.9,NA,"",2009,1,0,0,0
"Switched","TV-14","",7.2,NA,"",2018,1,0,0,0
"Chicago Typewriter",NA,"Drama, Fantasy, Romance, Science-Fiction, Comedy",8.2,NA,"",2017,1,0,0,0
"MeatEater",NA,"Documentary, Reality, Sport",7.9,NA,"",2012,1,0,0,0
"Rapture","TV-MA","",7.1,83,"",2018,1,0,0,0
"AMO","TV-MA","Crime, Drama, Action & Adventure",6.4,NA,"",2018,1,0,0,0
"El Chema","TV-14","Action & Adventure, Crime, Drama",7,NA,"",2016,1,0,0,0
"Immortals","TV-PG","Drama, Fantasy, Science-Fiction, Action & Adventure, Horror",5.5,NA,"",2018,1,0,0,0
"David Attenborough's Natural Curiosities","TV-PG","",8.5,NA,"",2013,1,0,0,0
"The Supervet","TV-PG","",8.7,NA,"",2014,1,0,0,0
"Great British Menu",NA,"",7.3,NA,"",2006,1,1,0,0
"La Piloto",NA,"Drama, Action & Adventure, Crime",5.5,NA,"",2017,1,0,0,0
"Glow Up: Britain's Next Make-Up Star",NA,"",6.4,NA,"",2019,1,0,0,0
"Tomorrow with You",NA,"Fantasy, Romance, Drama",7.4,NA,"",2017,1,0,0,0
"Diablero","TV-14","Horror, Thriller, Mystery, Fantasy, Science-Fiction",6.6,NA,"",2018,1,0,0,0
"Crematorium","TV-MA","",7.7,NA,"",2011,1,0,0,0
"Brews Brothers","TV-MA","",4.8,38,"",2020,1,0,0,0
"The Circle Brazil",NA,"",6.9,NA,"",2020,1,0,0,0
"Monty Python: Almost the Truth (The Lawyer's Cut)","TV-PG","",8.1,NA,"",2009,1,0,0,0
"My Holo Love",NA,"Drama, Romance, Science-Fiction",7.6,NA,"",2020,1,0,0,0
"La querida del Centauro","TV-14","Crime, Drama, Action & Adventure, Mystery, Romance, Thriller",8.1,NA,"",2016,1,0,0,0
"Million Pound Menu",NA,"Game Show, Reality, Food",6.5,57,"",2018,1,0,0,0
"Unstoppable","TV-MA","",7.3,NA,"",2020,1,0,0,0
"Best Friends Whenever","TV-G","Comedy, Family, Science-Fiction, Fantasy, Children",5.5,NA,"High School, Time Travel, Disney, Teen",2015,1,0,0,1
"Cheese in the Trap","TV-14","",7.4,NA,"",2016,1,0,0,0
"Christiane Amanpour: Sex & Love Around the World","TV-MA","",7.4,NA,"",2018,1,0,0,0
"Green Frontier","TV-MA","Crime, Drama, Thriller",7.4,NA,"",2019,1,0,0,0
"Unnatural Selection",NA,"",8,NA,"",2019,1,0,0,0
"The Stranded","TV-MA","Action & Adventure, Drama, Mystery, Fantasy",6.3,NA,"",2019,1,0,0,0
"Broken","TV-14","",6.8,NA,"",2019,1,0,0,0
"Love Rain","TV-PG","Drama, Romance, Comedy",7.7,NA,"",2012,1,0,0,0
"Love Your Garden",NA,"",8,NA,"",2011,1,0,0,0
"The InBESTigators","TV-G","Children, Comedy, Crime, Family",7.7,NA,"",2019,1,0,0,0
"Rugal",NA,"Action & Adventure, Crime, Science-Fiction, Thriller, Mystery, Drama, Fantasy",6.3,NA,"",2020,1,0,0,0
"We Are the Wave","TV-MA","",6.1,NA,"",2019,1,0,0,0
"The Deep","TV-PG","Animation, Action & Adventure, Family, Science-Fiction, Drama, Children",7.9,NA,"",2016,1,0,0,0
"Ultimate Beastmaster","TV-PG","Game Show, Action & Adventure, Reality",7.3,NA,"",2017,1,0,0,0
"When a Snail Falls in Love",NA,"Crime, Romance, Thriller, Drama, Mystery, Action & Adventure",7.5,NA,"",2016,1,0,0,0
"Rishta.com","TV-G","Comedy, Family, Drama",8.5,NA,"",2010,1,0,0,0
"El Chavo: The Animated Series","TV-G","Animation, Children, Comedy, Action & Adventure, Drama, Family, Fantasy, Mystery, Science-Fiction",5.4,NA,"",2006,1,0,0,0
"Max Steel","TV-PG","Action & Adventure, Animation, Science-Fiction",6.7,NA,"",2013,1,0,0,0
"Yukon Gold",NA,"",6,NA,"",2013,1,0,0,0
"Another Miss Oh",NA,"Comedy, Fantasy, Romance, Drama, Family",7.9,NA,"",2016,1,0,0,0
"Transformers: Cyberverse","TV-PG","Action & Adventure, Animation, Children, Science-Fiction",6.8,NA,"Free Services, Netflix, Cartoon Network, fuboTV",2018,1,0,0,0
"James Acaster: Repertoire","TV-MA","",8.4,NA,"",2018,1,0,0,0
"Oggy and the Cockroaches","TV-G","Animation, Children, Comedy, Family, Action & Adventure",7.3,NA,"France, Canada",1998,1,0,0,0
"Secrets at the Hotel","TV-PG","Drama, Mystery, Thriller, Romance",6.7,NA,"",2016,1,0,0,0
"Adventures of Sonic the Hedgehog","TV-G","Animation, Action & Adventure, Comedy, Family, Fantasy, Science-Fiction",6.2,NA,"Free Services, Netflix, Starz, CBS All Access",1993,1,0,0,0
"Ares","TV-MA","Drama, Horror, Thriller, Mystery",5.6,NA,"",2020,1,0,0,0
"That Winter, The Wind Blows",NA,"",7.8,NA,"",2013,1,0,0,0
"Hidden Worlds","TV-G","Drama, Comedy, Thriller",6.9,NA,"",2018,1,0,0,0
"Ninja Hattori","TV-G","Animation, Children, Action & Adventure, Family, Comedy",7,NA,"",1981,1,0,0,0
"The Sparticle Mystery","TV-PG","Action & Adventure, Children, Science-Fiction, Family, Fantasy",7,NA,"",2011,1,0,0,0
"Osmosis","TV-14","Drama, Romance, Science-Fiction, Fantasy",5.9,NA,"",2019,1,0,0,0
"Gunslinger Girl","TV-14","Action & Adventure, Anime, Animation, Drama, Science-Fiction",7.4,NA,"",2003,1,0,0,0
"Juana Inés","TV-14","Biography, History, Drama",7.6,NA,"",2016,1,0,0,0
"A Love So Beautiful",NA,"",NA,NA,"",2017,1,0,0,0
"Killer Kids","TV-14","Documentary, Biography, Crime, Mystery",7,NA,"",2011,1,0,0,0
"Inside the World's Toughest Prisons","TV-MA","",6.9,NA,"",2016,1,0,0,0
"Barbie: Life in the Dreamhouse","TV-G","Children, Comedy, Family, Animation",7.3,NA,"",2012,1,0,0,0
"Hormones","TV-14","Comedy, Drama, Romance",8,NA,"",2013,1,0,0,0
"God's Quiz",NA,"Crime, Drama, Thriller, Mystery",7.3,NA,"",2010,1,0,0,0
"Hache","TV-MA","Thriller, Drama, Crime",6.3,NA,"",2019,1,0,0,0
"Ever After High","TV-G","Animation, Children, Comedy, Family, Fantasy",8,NA,"",2013,1,0,0,0
"Unit 42","TV-PG","Crime, Drama, Mystery",7,NA,"",2017,1,0,0,0
"Larva Island",NA,"Action & Adventure, Children, Animation",6.5,NA,"",2018,1,0,0,0
"Children of the Whales","TV-14","Animation, Anime, Drama, Fantasy, Mystery, Science-Fiction, Action & Adventure",7.1,NA,"Magic, Supernatural, Religion, Adaptation",2017,1,0,0,0
"Cannabis","TV-14","Crime, Drama, Thriller",6.8,NA,"",2016,1,0,0,0
"The Indian Detective",NA,"Drama, Crime, Comedy, Mystery",6.5,50,"",2017,1,0,0,0
"Drug Lords","TV-MA","",6.8,NA,"",2018,1,0,0,0
"Creeped Out","TV-PG","Fantasy, Horror, Mystery, Science-Fiction, Thriller, Children, Family",6.6,NA,"",2017,1,0,0,0
"Designated Survivor: 60 Days",NA,"Drama, Thriller, Crime, Mystery, Action & Adventure",8,NA,"",2019,1,0,0,0
"Tiny House Nation","TV-PG","",7.2,NA,"Free Services, Netflix, Bravo, FYI, A&E, fuboTV",2014,1,0,0,0
"Captive",NA,"",7,71,"",2016,1,0,0,0
"Fallet",NA,"Comedy, Crime, Drama",6.8,NA,"",2017,1,0,0,0
"Instant Hotel","TV-PG","Reality, Home & Garden, Travel",7.3,NA,"",2018,1,0,0,0
"America's Book of Secrets","TV-PG","",7,NA,"",2012,1,1,1,0
"The Disguiser",NA,"Comedy, Mystery, Thriller, Drama, Crime, Action & Adventure",7.7,NA,"",2015,1,0,0,0
"Pocoyo","TV-G","Animation, Family, Comedy, Children",7.5,NA,"",2005,1,1,1,0
"Silvana Sin Lana","TV-14","Comedy, Drama, Romance",7.6,NA,"",2016,1,0,0,0
"The Adventures of Puss in Boots","TV-PG","Animation, Action & Adventure, Comedy, Family, Fantasy",6.7,NA,"",2015,1,0,0,0
"Love Alarm",NA,"Drama, Comedy, Romance",6.7,NA,"",2019,1,0,0,0
"Limmy's Show","TV-G","",8.3,NA,"",2010,1,0,0,0
"Cooper Barrett's Guide to Surviving Life","TV-PG","",6.3,50,"",2016,1,0,0,0
"Summertime","TV-MA","Drama, Romance, Comedy",6.7,NA,"",2020,1,0,0,0
"Fariña",NA,"Crime, Drama, Thriller",8,NA,"",2018,1,0,0,0
"Bad Guys","TV-MA","Crime, Mystery, Thriller, Action & Adventure",7.9,NA,"",2014,1,0,0,0
"Record of Grancrest War","TV-MA","Animation, Anime, Action & Adventure, Fantasy, Science-Fiction",7.2,NA,"",2018,1,0,0,0
"Worst Year of My Life, Again!",NA,"",7.6,NA,"",2014,1,0,0,0
"Puffin Rock","TV-G","Animation, Children, Family, Comedy",8.7,NA,"",2015,1,0,0,0
"Skin Wars","TV-14","",7.1,NA,"",2014,1,1,0,0
"The Road to Calvary","TV-PG","",7.7,NA,"",2017,1,0,0,0
"Crime Diaries: The Candidate","TV-MA","Crime, Drama, Thriller, Mystery",7.6,NA,"",2019,1,0,0,0
"The Mr. Peabody & Sherman Show","TV-PG","Animation, Comedy, Family, Action & Adventure, Science-Fiction, Children",5.7,80,"",2015,1,0,0,0
"Dharmakshetra",NA,"",7.8,NA,"",2014,1,0,1,0
"Four Seasons in Havana","TV-MA","Crime, Drama, Thriller",7.6,NA,"",2016,1,0,0,0
"21 Sarfarosh - Saragarhi 1897","TV-14","",8.1,NA,"",2018,1,0,0,0
"Stephen Fry in America","TV-PG","",7.9,NA,"",2008,1,0,0,0
"Autumn's Concerto","TV-14","",8,NA,"",2009,1,0,0,0
"Brotherhood","TV-14","Crime, Drama, Thriller, Action & Adventure",7.6,NA,"",2019,1,0,0,0
"Sisters",NA,"",7.6,NA,"",2017,1,0,0,0
"Griselda Blanco: The Black Widow","TV-14","Crime, Action & Adventure, Drama, Thriller",7.1,NA,"",2014,1,0,0,0
"Trolls: The Beat Goes On!","TV-G","Animation, Comedy, Action & Adventure, Family, Fantasy, Musical, Children",5.7,NA,"",2018,1,0,0,0
"Enemigo íntimo","TV-14","",7.6,NA,"",2018,1,0,0,0
"Louis Theroux: Miami Mega-Jail","TV-MA","",7.6,NA,"",2011,1,0,0,0
"Chewin' the Fat",NA,"",8.2,NA,"",1999,1,0,0,0
"Can't Pay? We'll Take It Away!","TV-MA","",7.2,NA,"",2014,1,0,0,0
"Ad Vitam","TV-PG","Crime, Drama, Mystery, Science-Fiction, Fantasy",6.4,NA,"",2018,1,0,0,0
"The Frozen Dead",NA,"Crime, Drama, Mystery, Thriller",6.4,NA,"",2017,1,0,0,0
"Glitch Techs",NA,"Action & Adventure, Animation, Children, Comedy, Family, Science-Fiction, Fantasy",7.9,NA,"",2020,1,0,0,0
"Killer Ratings","TV-MA","",8,NA,"",2019,1,0,0,0
"Fate/Apocrypha","TV-MA","Anime, Animation, Action & Adventure, Drama, Science-Fiction, Fantasy",6.5,NA,"",2017,1,0,0,0
"Bitter Daisies","TV-MA","Drama, Thriller, Crime, Mystery",7.2,NA,"",2018,1,0,0,0
"Genius of the Modern World","TV-G","Documentary, Biography, History",7.6,NA,"",2016,1,0,0,0
"72 Dangerous Animals: Australia",NA,"",7,NA,"",2014,1,0,0,0
"The Queen of Flow","TV-MA","Musical, Family, Drama, Action & Adventure, Romance",7.9,NA,"",2018,1,0,0,0
"Live","TV-14","Comedy, Crime, Drama, Action & Adventure, Romance",8.4,NA,"",2018,1,0,0,0
"The Unlisted",NA,"Family, Science-Fiction, Thriller, Fantasy, Action & Adventure, Drama, Mystery",6.3,NA,"",2019,1,0,0,0
"Residue","TV-14","Drama, Horror, Mystery, Science-Fiction, Thriller, Fantasy",6.1,NA,"",2015,1,0,0,0
"The Bachelor","TV-14","Reality, Romance, Game Show, Drama",3.2,NA,"Free Services, Netflix, HBO MAX, Hulu",2002,1,1,0,0
"Einsatzgruppen: The Nazi Death Squads",NA,"",7.6,NA,"",2009,1,0,0,0
"Criminal: Spain","TV-PG","Crime, Drama, Thriller, Mystery",6.9,NA,"",2019,1,0,0,0
"Doomsday Preppers","TV-PG","",6.1,NA,"",2011,1,0,0,0
"The Wiggles","TV-G","Children, Action & Adventure, Comedy, Family",5.7,NA,"",1998,1,0,0,0
"The Sound of Your Heart",NA,"Comedy, Drama, Family, Reality, Romance",8.3,NA,"",2016,1,0,0,0
"Spirit: Riding Free","TV-PG","Animation, Action & Adventure, Family, Children",6.5,NA,"",2017,1,0,0,0
"Servant of the People","TV-PG","",6.9,NA,"",2015,1,0,0,0
"Total Drama Presents: The Ridonculous Race","TV-PG","Animation, Action & Adventure, Comedy, Family, Game Show, Drama",6.6,NA,"",2015,1,0,0,0
"Can't Cope, Won't Cope",NA,"",7.3,NA,"",2016,1,0,0,0
"A Cook's Tour","TV-14","",8.1,NA,"",2002,1,0,0,0
"Paranormal Survivor","TV-PG","",6.3,NA,"",2015,1,0,0,0
"Loaded",NA,"",6.5,60,"",2017,1,0,0,0
"20 Minutes",NA,"Action & Adventure, Drama, Romance",6.8,NA,"",2013,1,0,0,0
"Scare Tactics","TV-14","Comedy, Reality, Horror, Science-Fiction, Thriller",6.7,NA,"",2003,1,0,0,0
"Twice Upon a Time",NA,"Drama, Romance, Science-Fiction, Thriller, Fantasy",6.3,NA,"",2019,1,0,0,0
"Bumping Mics with Jeff Ross & Dave Attell","TV-MA","",7.7,NA,"",2018,1,0,0,0
"Here to Heart","TV-PG","",8,NA,"",2018,1,0,0,0
"Brainchild","TV-PG","Reality, Documentary, Family",8,NA,"",2018,1,0,0,0
"Secrets of Great British Castles","TV-PG","",7.8,NA,"",2015,1,0,0,0
"Lunatics","TV-MA","",6.6,NA,"",2019,1,0,0,0
"Lost & Found Music Studios","TV-G","Family, Children, Comedy",6.7,NA,"",2015,1,0,0,0
"Pup Academy",NA,"Family, Comedy, Action & Adventure, Children",6.7,NA,"",2019,1,0,0,0
"Wizards vs Aliens","TV-PG","Action & Adventure, Children, Fantasy, Science-Fiction, Drama, Family",6.5,NA,"",2012,1,0,0,0
"Escape to the Continent",NA,"Reality, Travel, Family",7.5,NA,"",2014,1,0,0,0
"Kaçak",NA,"Action & Adventure, Crime, Drama, Comedy",6.7,NA,"",2013,1,0,0,0
"Chelsea","TV-MA","",6.1,41,"",2016,1,0,0,0
"The Day I Met El Chapo: The Kate del Castillo Story","TV-MA","Documentary, Drama, Biography",6.9,NA,"",2017,1,0,0,0
"Fake or Fortune?",NA,"",8.6,NA,"",2011,1,0,0,0
"Shadow","TV-PG","",6.5,NA,"",2019,1,0,0,0
"Dueños del Paraíso","TV-14","Action & Adventure, Crime, Drama, Documentary, Romance",7.1,NA,"",2015,1,1,0,0
"Aussie Gold Hunters","TV-PG","Documentary, Action & Adventure, Reality",7.1,NA,"",2016,1,0,0,0
"The Forest of Love: Deep Cut",NA,"Crime, Drama, Horror, Thriller",6.4,NA,"",2020,1,0,0,0
"The Neighbor","TV-MA","",6.5,NA,"",2019,1,0,0,0
"The Break with Michelle Wolf","TV-MA","",5.2,81,"",2018,1,0,0,0
"Love Through a Millennium",NA,"Fantasy, Romance, Drama",7.7,NA,"",2015,1,0,0,0
"Tokyo Trial",NA,"",7.4,NA,"",2016,1,0,0,0
"Secret Agent Selection: WW2",NA,"",7.6,NA,"",2018,1,0,0,0
"Kikoriki","TV-G","Animation, Action & Adventure, Comedy, Family, Children",7.4,NA,"",2004,1,0,0,0
"If I Hadn't Met You",NA,"Fantasy, Romance, Drama, Family, Mystery, Science-Fiction",7.7,NA,"",2018,1,0,0,0
"The Healing Powers of Dude",NA,"Comedy, Drama, Action & Adventure, Family",6.3,NA,"",2020,1,0,0,0
"Sid the Science Kid","TV-G","Animation, Children, Comedy, Family",5.4,80,"",2008,1,0,0,0
"A.I.C.O. -Incarnation-","TV-MA","Action & Adventure, Animation, Science-Fiction, Fantasy",6.4,NA,"",2018,1,0,0,0
"Fated to Love You","TV-PG","Comedy, Drama, Romance",7.4,NA,"",2008,1,1,0,0
"The Kirlian Frequency","TV-PG","",7.6,NA,"",2019,1,0,0,0
"Grand Designs Australia","TV-G","Documentary, Home & Garden, Reality",7.2,NA,"",2010,1,0,0,0
"Powder","TV-14","Drama, Fantasy, Mystery, Science-Fiction, Thriller",6.6,50,"",1995,1,0,0,0
"Embarrassing Bodies","TV-MA","",7,NA,"",2007,1,0,0,0
"El Reemplazante","TV-14","",8.4,NA,"",2012,1,0,0,0
"Ben and Holly's Little Kingdom","TV-G","Animation, Children, Action & Adventure, Comedy, Family, Fantasy",7.3,NA,"",2009,1,0,0,0
"Chuggington","TV-G","Animation, Children, Family",5.9,NA,"",2008,1,1,0,0
"A Thousand Days' Promise","TV-14","",8.1,NA,"",2011,1,0,0,0
"Last Chance to See","TV-PG","",8.3,NA,"",2009,1,0,0,0
"A User's Guide to Cheating Death","TV-14","",7.6,NA,"",2017,1,0,0,0
"The Prince of Tennis",NA,"",8.3,NA,"",2019,1,0,0,0
"Atelier","TV-14","Drama, Animation, Science-Fiction, Comedy",7.3,NA,"",2015,1,0,0,0
"My Life","TV-G","",7.9,NA,"",2014,1,0,0,0
"Victim Number 8",NA,"Thriller, Action & Adventure, Drama, Crime",7.1,NA,"",2018,1,0,0,0
"Release the Hounds",NA,"Action & Adventure, Game Show, Horror",6.8,NA,"",2013,1,0,0,0
"The Real Football Factories",NA,"",7.6,NA,"",2006,1,0,0,0
"Nadiya's Time to Eat",NA,"",7.5,NA,"",2019,1,0,0,0
"Shaun the Sheep: Adventures from Mossy Bottom",NA,"",8,NA,"",2020,1,0,0,0
"The Garfield Show","TV-G","Animation, Children, Comedy, Family",5.3,NA,"",2009,1,0,1,0
"SWORD GAI: The Animation","TV-MA","Animation, Anime, Action & Adventure, Fantasy, Horror, Science-Fiction",5.9,NA,"",2018,1,0,0,0
"Two Sentence Horror Stories",NA,"Drama, Crime, Horror",5.5,NA,"",2019,1,0,0,0
"The Disastrous Life of Saiki K.: Reawakened",NA,"Comedy, History, Animation",7.8,NA,"",2019,1,0,0,0
"Refresh Man",NA,"Drama, Romance, Comedy",7.6,NA,"",2016,1,0,0,0
"Sea of Plastic",NA,"Mystery, Thriller, Drama, Crime",7.2,NA,"",2015,1,0,0,0
"Borderline","TV-14","",7.1,NA,"",2016,1,0,0,0
"Solomon's Perjury",NA,"Drama, Mystery, Crime",7.4,NA,"",2016,1,0,0,0
"White Rabbit Project","TV-PG","",6.9,NA,"",2016,1,0,0,0
"Oh My Ghost",NA,"Comedy, Romance, Fantasy",7.2,NA,"",2015,1,0,0,0
"Shot in the Dark","TV-MA","",8.3,NA,"",2017,1,0,0,0
"Playing with Fire","TV-MA","",6.1,NA,"",2019,1,0,0,0
"The Unremarkable Juanquini","TV-14","",4.5,NA,"",2020,1,0,0,0
"So Awkward",NA,"",7.5,NA,"",2015,1,0,0,0
"Old Money","TV-PG","Animation, Comedy, Drama",7.6,NA,"",2015,1,0,0,0
"The A List",NA,"",5.3,NA,"",2018,1,0,0,0
"Steampunk'd",NA,"",5.8,NA,"",2015,1,1,0,0
"Mighty Little Bheem","TV-G","",7.9,NA,"",2019,1,0,0,0
"The Dark Charisma of Adolf Hitler",NA,"Documentary, Biography, History",7.3,NA,"",2012,1,0,0,0
"Skylanders Academy","TV-PG","Animation, Action & Adventure, Comedy, Family, Fantasy, Children",6.5,NA,"",2016,1,0,0,0
"The Expanding Universe of Ashley Garcia",NA,"",6.5,NA,"",2020,1,0,0,0
"Dinosaur King","TV-PG","Action & Adventure, Anime, Animation, Children, Comedy, Science-Fiction, Fantasy, Family",5.5,NA,"",2007,1,0,0,0
"The Ghost Bride","TV-MA","Drama, Horror, Thriller, Mystery, Family, Fantasy",5.8,NA,"Malaysia, Taiwan",2020,1,0,0,0
"Geronimo Stilton","TV-G","Animation, Action & Adventure, Comedy, Family, Mystery, Thriller, Children",6.6,NA,"",2009,1,0,1,0
"The Royal House of Windsor","TV-14","",7.4,NA,"",2017,1,0,0,0
"Johnny Test","TV-G","Animation, Comedy, Science-Fiction, Action & Adventure, Drama, Family",4.9,NA,"",2005,1,0,0,0
"72 Dangerous Animals: Latin America","TV-14","",6.8,NA,"",2017,1,0,0,0
"1994","TV-MA","",8,NA,"",2019,1,0,0,0
"Babies",NA,"",7,67,"",2020,1,0,0,0
"FIGHTWORLD","TV-MA","",7.7,NA,"",2018,1,0,0,0
"Dancing Queen","TV-PG","",6.9,NA,"",2018,1,0,0,0
"The Piano Forest","TV-PG","Anime, Animation, Action & Adventure, Drama, Musical, Comedy",7.1,NA,"Coming of Age, Friendship, Time Travel, Music, Singing, Adaptation",2018,1,0,0,0
"Monzón: A Knockout Blow","TV-MA","Action & Adventure, Animation, Drama, Biography, Crime, History, Sport, Documentary",7.9,NA,"",2019,1,0,0,0
"Legend of Chu and Han",NA,"",NA,NA,"",2012,1,0,0,0
"Rabbids Invasion","TV-PG","Animation, Children, Comedy, Family",5,NA,"Free Services, Netflix, Hulu, Nick",2013,1,1,0,0
"Gentlemen & Gangsters",NA,"Drama, Romance, Thriller",7,NA,"",2016,1,0,0,0
"Flavorful Origins","TV-G","",7.6,NA,"",2019,1,0,0,0
"Fastest Car",NA,"Reality, Documentary, Action & Adventure, Sport",7.1,NA,"",2018,1,0,0,0
"Bill Nye Saves the World","TV-PG","",3.6,75,"",2017,1,0,0,0
"Mortel","TV-MA","Drama, Fantasy, Horror, Science-Fiction, Crime",6.4,NA,"",2019,1,0,0,0
"Jailbirds","TV-MA","",7.1,NA,"",2019,1,0,0,0
"Fary: Hexagone",NA,"",6.3,NA,"",2020,1,0,0,0
"Dinner for Five","TV-MA","",8.1,NA,"",2001,1,0,0,0
"Granblue Fantasy: The Animation",NA,"Animation, Anime, Action & Adventure, Fantasy, Science-Fiction",6.4,NA,"Free Services, Netflix, Prime Video, Funimation",2017,1,0,1,0
"Followers","TV-MA","",6.2,NA,"",2020,1,0,0,0
"I Hear You","TV-G","Comedy, Romance, Drama",7.8,NA,"",2019,1,0,0,0
"Last","TV-14","Action & Adventure, Drama, Thriller, Crime",7.5,NA,"",2015,1,0,0,0
"Nailed It! Holiday!",NA,"Comedy, Food, Reality",7.8,NA,"",2018,1,0,0,0
"Scam City",NA,"Documentary, Travel, Action & Adventure",8,NA,"",2012,1,0,0,0
"Storage Wars: Northern Treasures","TV-MA","",5.7,NA,"Free Services, Netflix, Prime Video, A&E",2017,1,0,1,0
"Ask the Storybots","TV-G","Animation, Action & Adventure, Comedy, Family, Musical, Mystery, Children",8.2,NA,"",2016,1,0,0,0
"Apache: La vida de Carlos Tevez","TV-MA","Crime, Drama, Biography, Sport, Thriller",7.9,NA,"",2019,1,0,0,0
"Prank Encounters","TV-MA","Comedy, Horror, Reality",5,40,"",2019,1,0,0,0
"Bare Knuckle Fight Club",NA,"",6.8,NA,"",2017,1,0,0,0
"Bel Ami",NA,"Drama, Comedy, Romance",6.3,NA,"",2013,1,0,0,0
"Cagaster of an Insect Cage","TV-MA","Action & Adventure, Anime, Drama, Animation, Science-Fiction, Fantasy",6.1,NA,"",2020,1,0,0,0
"Zak Storm",NA,"Action & Adventure, Animation, Comedy, Family, Fantasy, Science-Fiction",7.1,NA,"",2016,1,0,0,0
"Triad Princess","TV-MA","Action & Adventure, Drama, Comedy, Crime, Romance",7.1,NA,"",2019,1,0,0,0
"The Story of Maths","TV-G","",8,NA,"",2008,1,0,0,0
"Wild Catch / Chasing Monsters",NA,"Action & Adventure, Drama, Documentary, Reality",7.5,NA,"",2016,1,0,0,0
"100% Hotter",NA,"",4.4,NA,"",2016,1,0,0,0
"To Be Continued",NA,"Drama, Comedy, Fantasy, Romance",NA,NA,"High School, Friendship, Time Travel, Music",2015,1,0,0,0
"Meet the Drug Lords: Inside the Real Narcos","TV-PG","",7.6,NA,"",2018,1,0,0,0
"Trailer Park Boys: Out of the Park: Europe","TV-MA","Action & Adventure, Comedy, Crime, Drama",6.6,NA,"",2016,1,0,0,0
"Shark",NA,"",8.4,NA,"",2015,1,0,0,0
"Little Lunch","TV-G","Comedy, Family, Children",8.2,NA,"",2014,1,0,0,0
"Peasants Rebellion",NA,"",8.9,NA,"",2018,1,0,0,0
"Kevin Hart: Don't F**k This Up","TV-MA","",6.5,NA,"",2019,1,0,0,0
"The Club",NA,"",6.2,NA,"",2019,1,0,0,0
