"title","age","genres","imdb","rotten_tomatoes","keywords","year","netflix","hulu","prime","disney"
"When They See Us","TV-MA","Thriller, Biography, Drama, History",8.9,96,"",2019,1,0,0,0
"How to Get Away with Murder","TV-14","Drama, Thriller, Crime, Mystery",8.1,88,"",2014,1,1,0,0
"The Crown","TV-MA","",8.7,89,"America, United Kingdom",2016,1,0,0,0
"The Vampire Diaries","TV-14","Drama, Fantasy, Horror, Romance, Mystery, Thriller, Science-Fiction",7.7,86,"Based on Books, Vampire, Supernatural, Adaptation, Teen",2009,1,0,0,0
"BoJack Horseman","TV-MA","Animation, Comedy, Drama",8.7,93,"Space, Drug, Psychology, Genius, Animal, Mature",2014,1,0,0,0
"Penny Dreadful","TV-MA","Horror, Thriller, Drama, Fantasy",8.2,91,"Monster, Vampire, Doctor, Supernatural, Religion",2014,1,0,0,0
"American Crime Story","TV-MA","Biography, Drama, Crime",8.4,93,"Police, Serial Killer, Adaptation, Based On True Story",2016,1,0,0,0
"Sense8","TV-MA","Drama, LGBTQ, Mystery, Science-Fiction, Thriller, Fantasy",8.3,86,"",2015,1,0,0,0
"Elite","TV-MA","Crime, Drama, Thriller, Mystery",7.6,97,"",2018,1,0,0,0
"Sacred Games","TV-MA","Drama, Action & Adventure, Crime, Thriller",8.7,92,"",2018,1,0,0,0
"Arrow","TV-14","Drama, Action & Adventure, Fantasy, Crime, Mystery, Science-Fiction",7.6,85,"Supernatural, Superhero, Comic Book, Serial Killer, Adaptation",2012,1,0,0,0
"Sex Education","TV-14","",8.3,94,"",2019,1,0,0,0
"Unbelievable","TV-MA","",8.4,97,"",2019,1,0,0,0
"The IT Crowd","TV-14","",8.5,87,"",2006,1,0,0,0
"The Twilight Zone","TV-PG","Fantasy, Science-Fiction, Drama, Horror, Mystery, Thriller",9,82,"Escape, Space, Time Travel, Suspense",1959,1,1,0,0
"YOU","TV-MA","Crime, Drama, Romance, Thriller",7.8,91,"",2018,1,0,0,0
"Unorthodox","TV-MA","",8.1,94,"",2020,1,0,0,0
"Broadchurch","TV-MA","Crime, Drama, Mystery, Thriller",8.4,92,"",2013,1,0,0,0
"Star Trek: The Next Generation","TV-PG","Action & Adventure, Drama, Science-Fiction, Mystery, Fantasy",8.6,89,"Netflix, Prime Video, Hulu, CBS All Access",1987,1,1,1,0
"Altered Carbon","TV-MA","Mystery, Science-Fiction, Action & Adventure, Drama, Thriller, Fantasy",8.1,64,"Dystopia, War, Space, Technology, Suspense, Science, Fighting, Futuristic",2018,1,0,0,0
"The Sinner","TV-14","Drama, Crime, Thriller, Mystery",8,95,"Based on Books, Drug, Religion, Adaptation",2017,1,0,0,0
"Kingdom","TV-MA","Action & Adventure, Drama, Horror, Thriller, Mystery, Science-Fiction, Fantasy, History",8.4,96,"Suspense, Doctor, Zombie, Medieval",2019,1,0,0,0
"Love, Death & Robots","TV-MA","Animation, Science-Fiction, Comedy, Fantasy, Horror",8.5,78,"",2019,1,0,0,0
"Marvel's Jessica Jones","TV-MA","Action & Adventure, Crime, Drama, Science-Fiction, Thriller, Fantasy",8,83,"Supernatural, Superhero, Comic Book, Psychology, Disney, Adaptation",2015,1,0,0,0
"The Good Wife","TV-14","Crime, Drama, Mystery",8.3,94,"Netflix, Prime Video, Hulu, CBS All Access",2009,1,1,1,0
"The Umbrella Academy","TV-14","Action & Adventure, LGBTQ, Comedy, Drama, Fantasy, Science-Fiction, Mystery",7.9,77,"",2019,1,0,0,0
"Bodyguard","TV-MA","Thriller, Crime, Drama, Action & Adventure",8.1,93,"Military, Police, Suspense, Political",2018,1,0,0,0
"New Girl","TV-14","",7.7,94,"",2011,1,0,0,0
"Marvel's The Punisher","TV-MA","Action & Adventure, Crime, Drama, Science-Fiction, Thriller",8.5,63,"Supernatural, Superhero, Comic Book, Disney, Adaptation",2017,1,0,0,0
"Schitt's Creek","TV-14","",8.4,50,"Free Services, Netflix, Prime Video, fuboTV",2015,1,0,1,0
"Master of None","TV-MA","",8.3,100,"",2015,1,0,0,0
"Tiger King: Murder, Mayhem and Madness","TV-MA","Documentary, LGBTQ, Crime",7.8,86,"",2020,1,0,0,0
"The West Wing","TV-14","",8.8,75,"",1999,1,0,0,0
"Death Note","TV-MA","Animation, Anime, Crime, Fantasy, Drama, Mystery, Thriller",9,NA,"Police, Time Travel, Suspense, Supernatural, Serial Killer, Adaptation",2006,1,1,0,0
"Gomorrah","TV-MA","Drama, Crime, Thriller",8.7,94,"",2014,1,0,0,0
"Once Upon a Time","TV-PG","Drama, Fantasy, Action & Adventure, Romance, Science-Fiction",7.7,80,"Magic, Supernatural, Psychology, Disney, Adaptation",2011,1,0,0,0
"Bates Motel","TV-MA","Crime, Drama, Horror, Mystery, Thriller",8.2,93,"",2013,1,0,0,0
"Riverdale","TV-14","Drama, Crime, Mystery, Romance, Thriller",7,86,"High School, Comic Book, Adaptation, Teen",2017,1,0,0,0
"Ash vs Evil Dead","TV-MA","Comedy, Horror, Action & Adventure, Fantasy, Thriller",8.4,99,"",2015,1,0,0,0
"Making a Murderer","TV-14","",8.6,84,"Prison, Revenge, Teen, Political",2015,1,0,0,0
"Narcos: Mexico","TV-MA","Action & Adventure, Crime, Drama",8.4,88,"",2018,1,0,0,0
"Atypical","TV-MA","Comedy, Drama, Romance",8.3,87,"Coming of Age, High School, Doctor, Teen",2017,1,0,0,0
"Burn Notice","TV-PG","Action & Adventure, Crime, Drama, Thriller, Mystery",7.9,88,"Netflix, Prime Video, Hulu, USA",2007,1,1,1,0
"Russian Doll","TV-MA","Comedy, Drama, Mystery, Fantasy",7.9,96,"",2019,1,0,0,0
"Resurrection: Ertugrul","TV-14","Action & Adventure, Drama, History",7.8,NA,"",2014,1,0,0,0
"Big Mouth","TV-MA","Animation, Comedy, Romance",8,100,"",2017,1,0,0,0
"American Horror Story","TV-MA","Drama, Horror, Thriller, Fantasy, Mystery, Science-Fiction",8,NA,"Time Travel, Vampire, Doctor, Supernatural, Ghost, Serial Killer, Religion",2011,1,1,1,0
"Our Planet","TV-PG","",9.3,93,"",2019,1,0,0,0
"Gotham","TV-14","Drama, Action & Adventure, Crime, Thriller, Fantasy, Science-Fiction",7.8,77,"Doctor, Supernatural, Superhero, Comic Book, Serial Killer, Adaptation",2014,1,0,0,0
"Castlevania","TV-MA","Animation, Action & Adventure, Fantasy, Horror",8.2,93,"Vampire, Doctor, Magic, Supernatural, Medieval, Religion, Video Games, Adaptation",2017,1,0,0,0
"Criminal Minds","TV-14","Crime, Drama, Mystery, Thriller, Horror",8.1,NA,"",2005,1,0,0,0
